"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Kyle Garlick","MIN","15","30","3","6","6","0","16.7%","23.3%",".360",".200",".240",".367",".600",".417",".444","183","0.0","2.7","-0.7","0.3","18063"
"Max Stassi","LAA","19","73","3","12","8","0","11.0%","34.2%",".154",".270",".200",".288",".354",".291",".368","93","-0.2","-0.7","1.3","0.3","10059"
"Gary Sanchez","MIN","26","106","4","9","14","1","5.7%","30.2%",".229",".283",".219",".292",".448",".327",".343","119","-1.7","0.5","-1.0","0.3","11442"
"James McCann","NYM","21","64","1","5","6","1","3.1%","17.2%",".089",".217",".196",".266",".286",".252",".331","68","0.1","-2.4","3.1","0.3","12859"
"Garrett Cooper","MIA","33","131","2","11","12","0","8.4%","28.2%",".123",".342",".246",".336",".368",".319",".354","110","-0.5","1.0","-2.6","0.3","15279"
"Yadier Molina","STL","22","79","2","8","6","1","0.0%","15.2%",".114",".262",".241",".241",".354",".261",".260","71","-1.6","-4.3","4.4","0.3","7007"
"Garrett Stubbs","PHI","8","22","0","1","2","1","9.1%","22.7%",".200",".467",".350",".409",".550",".416",".384","169","0.3","2.0","0.0","0.3","18067"
"Kevin Smith","OAK","29","93","2","6","11","2","3.2%","26.9%",".161",".250",".195",".222",".356",".254",".289","70","-0.7","-3.7","3.4","0.3","20242"
"Jared Walsh","LAA","37","144","6","16","23","0","6.9%","26.4%",".173",".292",".241",".299",".414",".311",".334","107","-2.0","-0.9","-1.1","0.3","18607"
"Rhys Hoskins","PHI","35","147","6","19","19","0","10.2%","29.3%",".206",".289",".229",".306",".435",".327",".332","110","-0.4","1.2","-3.4","0.3","16472"
"Jason Vosler","SFG","12","41","2","5","5","0","12.2%","24.4%",".200",".333",".286",".366",".486",".364",".322","139","-0.7","1.1","0.2","0.3","16686"
"Ryan Mountcastle","BAL","28","117","4","10","16","2","3.4%","24.8%",".134",".329",".268",".299",".402",".308",".378","103","0.5","0.9","-2.1","0.3","18373"
"Victor Robles","WSN","33","107","0","12","12","1","4.7%","29.9%",".065",".355",".237",".294",".301",".271",".238","72","1.5","-1.9","1.0","0.3","18363"
"Jorge Alfaro","SDP","19","63","2","5","8","1","4.8%","39.7%",".140",".406",".263",".302",".404",".309",".290","103","-0.5","-0.4","0.8","0.3","12180"
"Yan Gomes","CHC","19","61","2","6","5","0","3.3%","18.0%",".153",".283",".254",".279",".407",".302",".297","93","0.2","-0.3","0.8","0.3","9627"
"Luis Urias","MIL","13","57","2","9","6","0","12.3%","15.8%",".149",".324",".298",".404",".447",".380",".364","145","-0.8","2.2","-1.7","0.3","16622"
"Jake Cronenworth","SDP","36","161","2","18","15","0","11.2%","21.1%",".109",".252",".204",".302",".314",".279",".303","83","-0.3","-3.5","0.5","0.3","18036"
"Austin Meadows","DET","28","116","0","9","11","0","10.3%","12.1%",".079",".310",".267",".362",".347",".325",".370","117","-0.8","1.3","-2.7","0.3","15672"
"Nicky Lopez","KCR","35","122","0","11","3","2","9.0%","14.8%",".037",".258",".215",".306",".252",".264",".297","72","1.5","-2.3","0.6","0.2","19339"
"Dylan Moore","SEA","18","38","1","4","3","2","13.2%","23.7%",".161",".190",".161",".297",".323",".287",".408","95","0.7","0.5","0.6","0.2","18042"
"Avisail Garcia","MIA","32","127","3","10","9","3","2.4%","27.6%",".098",".286",".221",".252",".320",".256",".314","68","0.2","-4.5","2.6","0.2","5760"
"Luis Rengifo","LAA","8","23","0","3","0","0","8.7%","13.0%",".053",".375",".316",".409",".368",".357",".308","140","-0.1","0.9","0.7","0.2","19858"
"Josh Rojas","ARI","11","41","0","5","2","2","14.6%","14.6%",".000",".276",".235",".341",".235",".276",".305","75","0.9","-0.3","1.2","0.2","19734"
"Alfonso Rivas","CHC","21","59","2","7","10","0","16.9%","28.8%",".163",".333",".245",".373",".408",".348",".311","124","-0.3","1.4","-1.1","0.2","21560"
"Luis Barrera","OAK","9","23","1","1","4","1","13.0%","13.0%",".158",".250",".263",".348",".421",".338",".332","131","0.0","0.7","0.7","0.2","19615"
"Ryan McKenna","BAL","22","37","0","4","3","0","8.1%","40.5%",".094",".389",".219",".297",".313",".265",".169","73","0.7","-0.4","1.4","0.2","19928"
"Javier Baez","DET","28","115","2","8","11","0","4.3%","23.5%",".110",".263",".211",".252",".321",".257",".290","69","0.0","-3.9","2.3","0.2","12979"
"Pavin Smith","ARI","35","125","3","8","13","1","10.4%","29.6%",".127",".310",".227",".312",".355",".302",".325","92","0.4","-0.7","-1.3","0.2","19892"
"Yoan Moncada","CHW","7","33","2","3","4","0","6.1%","27.3%",".200",".263",".233",".303",".433",".328",".376","120","0.5","1.2","-0.2","0.2","17232"
"Christian Bethancourt","OAK","24","73","0","9","7","2","6.8%","19.2%",".091",".288",".227",".292",".318",".277",".383","87","0.0","-1.1","0.7","0.2","10028"
"Mauricio Dubon","- - -","24","55","2","10","8","0","1.8%","7.3%",".157",".234",".255",".259",".412",".288",".323","91","0.2","-0.4","0.6","0.2","16530"
"Jorge Soler","MIA","35","151","7","13","18","0","10.6%","26.5%",".195",".221",".195",".287",".391",".301",".348","98","-0.8","-1.1","-2.0","0.2","14221"
"Elvis Andrus","OAK","34","124","1","12","4","2","9.7%","14.5%",".090",".272",".234",".315",".324",".292",".317","98","0.9","0.6","-2.8","0.2","8709"
"Jordan Luplow","ARI","20","52","5","9","10","3","7.7%","34.6%",".313",".160",".188",".250",".500",".326",".264","109","0.5","1.0","-0.9","0.2","16424"
"Mike Brosseau","MIL","20","45","2","4","7","1","11.1%","22.2%",".150",".321",".275",".356",".425",".350",".356","125","0.3","1.6","-1.2","0.2","19683"
"Victor Caratini","MIL","14","48","1","3","4","0","10.4%","20.8%",".098",".258",".220",".313",".317",".289",".374","84","0.4","-0.5","0.7","0.2","14968"
"LaMonte Wade Jr.","SFG","9","31","1","4","5","0","16.1%","16.1%",".125",".263",".250",".387",".375",".348",".430","128","0.6","1.6","-0.8","0.2","18126"
"Tyler Wade","LAA","32","87","0","10","5","3","5.7%","20.7%",".052",".322",".247",".301",".299",".274",".252","80","-0.7","-2.6","1.5","0.2","15730"
"Edwin Rios","LAD","15","43","4","7","12","0","2.3%","41.9%",".310",".350",".262",".279",".571",".368",".351","141","-0.6","1.4","-1.1","0.2","18316"
"Josh Lowe","TBR","19","71","1","9","6","1","8.5%","38.0%",".156",".306",".188",".257",".344",".262",".251","78","0.8","-0.9","0.3","0.2","19953"
"Austin Hedges","CLE","26","88","3","8","7","1","6.8%","25.0%",".114",".185",".165",".233",".278",".235",".256","53","-0.2","-4.6","3.5","0.2","12976"
"Colin Moran","CIN","28","96","4","8","21","0","11.5%","22.9%",".171",".203",".195",".281",".366",".288",".329","80","-0.1","-2.3","0.8","0.2","16909"
"Mitch Garver","TEX","22","89","3","7","8","0","11.2%","22.5%",".141",".232",".205",".292",".346",".289",".299","93","0.0","-0.7","-0.6","0.2","15161"
"Luke Maile","CLE","7","20","0","3","2","0","10.0%","25.0%",".222",".308",".222",".300",".444",".326",".335","118","-0.7","-0.3","1.2","0.2","13355"
"Nick Gordon","MIN","29","73","0","8","1","1","5.5%","28.8%",".059",".362",".250",".292",".309",".271",".309","78","-0.2","-1.9","1.1","0.2","16337"
"Ramon Urias","BAL","30","113","2","8","9","0","6.2%","27.4%",".106",".274",".212",".257",".317",".256",".331","66","0.5","-3.6","1.4","0.2","18795"
"Marwin Gonzalez","NYY","15","27","0","5","3","0","7.4%","37.0%",".125",".333",".208",".259",".333",".260",".251","72","0.2","-0.6","1.3","0.2","5497"
"Didi Gregorius","PHI","18","65","0","7","7","0","4.6%","15.4%",".068",".340",".288",".338",".356",".312",".271","100","0.8","0.8","-1.5","0.2","6012"
"Albert Pujols","STL","17","56","2","9","6","0","14.3%","14.3%",".174",".250",".239",".375",".413",".358",".345","136","-1.4","0.9","-1.3","0.2","1177"
"Jose Iglesias","COL","30","115","0","13","11","0","4.3%","10.4%",".075",".340",".302",".357",".377",".331",".282","100","-1.6","-1.6","-0.8","0.2","10231"
"Jesus Sanchez","MIA","33","128","4","16","13","0","6.3%","29.7%",".161",".276",".212",".273",".373",".288",".308","90","-1.4","-2.9","0.1","0.1","19913"
"Chad Pinder","OAK","25","95","3","8","11","2","2.1%","38.9%",".143",".385",".253",".266",".396",".289",".260","96","-0.5","-0.9","-0.8","0.1","15191"
"Aaron Hicks","NYY","32","111","1","12","7","5","18.0%","19.8%",".045",".269",".213",".355",".258",".291",".322","94","0.9","0.2","-2.4","0.1","5297"
"Nick Solak","TEX","26","75","2","11","3","3","6.7%","22.7%",".104",".250",".209",".293",".313",".280",".322","86","1.1","0.0","-1.1","0.1","19294"
"Kole Calhoun","TEX","33","103","4","7","12","0","4.9%","24.3%",".167",".265",".229",".272",".396",".294",".356","96","0.2","-0.2","-1.8","0.1","11200"
"Adalberto Mondesi","KCR","15","54","0","3","3","5","7.4%","37.0%",".000",".233",".140",".204",".140",".167",".227","3","1.1","-4.6","4.2","0.1","13769"
"Patrick Wisdom","CHC","33","124","6","18","17","0","6.5%","41.9%",".228",".316",".211",".266",".439",".308",".305","97","0.1","-0.2","-2.5","0.1","13602"
"Francisco Mejia","TBR","14","41","2","7","11","0","0.0%","24.4%",".200",".345",".300",".293",".500",".341",".310","134","0.3","1.8","-1.8","0.1","16403"
"Mike Zunino","TBR","25","86","3","5","10","0","5.8%","37.2%",".150",".196",".150",".198",".300",".222",".261","49","0.2","-4.6","3.0","0.1","13265"
"Garrett Hampson","COL","11","32","1","6","4","1","15.6%","28.1%",".154",".250",".192",".323",".346",".308",".278","85","-0.3","-0.9","1.0","0.1","19262"
"Jake Burger","CHW","21","77","2","6","7","0","5.2%","35.1%",".113",".349",".239",".276",".352",".279",".269","85","-0.3","-1.5","0.2","0.1","22275"
"Jose Abreu","CHW","34","145","3","15","14","0","10.3%","17.2%",".117",".238",".211",".297",".328",".285",".372","89","-0.4","-2.1","-1.4","0.1","15676"
"Jonathan Schoop","DET","36","141","3","10","8","0","3.5%","18.4%",".097",".181",".164",".206",".261",".212",".289","36","0.9","-8.8","5.4","0.1","11265"
"Adam Duvall","ATL","36","139","2","15","15","0","6.5%","32.4%",".095",".296",".206",".266",".302",".257",".286","62","2.2","-3.9","0.5","0.1","10950"
"Roman Quinn","PHI","15","23","0","3","1","4","4.3%","26.1%",".000",".188",".136",".174",".136",".147",".167","-10","0.9","-2.0","2.4","0.1","13546"
"Emmanuel Rivera","KCR","14","34","1","5","6","0","8.8%","20.6%",".226",".261",".226",".294",".452",".326",".376","116","-0.6","0.0","0.0","0.1","19890"
"Randal Grichuk","COL","27","114","5","14","21","1","5.3%","28.1%",".171",".348",".276",".325",".448",".341",".309","107","-0.7","0.2","-2.9","0.1","10243"
"Michael Chavis","PIT","29","94","3","9","13","0","4.3%","24.5%",".195",".313",".264",".287",".460",".320",".325","107","-0.8","-0.1","-2.1","0.1","17321"
"Teoscar Hernandez","TOR","15","59","2","5","7","1","3.4%","32.2%",".127",".235",".182",".237",".309",".248",".277","59","1.2","-1.5","0.5","0.1","13066"
"Albert Almora Jr.","CIN","8","26","0","4","1","1","3.8%","23.1%",".080",".421",".320",".346",".400",".332",".286","109","-0.5","-0.3","0.3","0.1","14109"
"Cal Raleigh","SEA","16","43","2","2","3","0","11.6%","34.9%",".158",".048",".079",".186",".237",".200",".266","33","0.2","-2.9","2.4","0.1","21534"
"Travis Jankowski","NYM","25","42","0","9","2","3","11.9%","11.9%",".000",".281",".243",".333",".243",".274",".260","82","0.5","-0.4","-0.1","0.1","13768"
"Zack Collins","TOR","19","66","3","5","9","0","7.6%","40.9%",".200",".300",".200",".273",".400",".300",".282","95","0.2","-0.2","-1.1","0.1","19181"
"Taylor Walls","TBR","31","100","1","9","3","5","13.0%","29.0%",".093",".250",".174",".290",".267",".263",".272","79","-0.4","-2.7","0.3","0.1","22458"
"Matt Reynolds","- - -","17","47","0","4","1","1","17.0%","27.7%",".051",".346",".231",".362",".282",".306",".309","92","0.3","-0.2","-0.5","0.1","13788"
"Aledmys Diaz","HOU","24","83","2","6","9","0","6.0%","16.9%",".091",".246",".221",".277",".312",".268",".312","79","-1.2","-3.0","1.2","0.1","15937"
"Bo Bichette","TOR","37","162","4","17","16","4","4.9%","25.3%",".123",".312",".247",".284",".370",".291",".338","89","0.2","-1.7","-2.7","0.1","19612"
"Seth Brown","OAK","36","120","3","10","18","2","8.3%","27.5%",".157",".219",".176",".250",".333",".258",".336","74","1.2","-2.2","-0.8","0.1","18171"
"Richie Palacios","CLE","11","36","0","1","2","1","5.6%","13.9%",".029",".345",".294",".333",".324",".298",".303","98","0.1","0.0","-0.3","0.1","24589"
"Hunter Dozier","KCR","32","125","3","14","8","1","4.8%","22.4%",".161",".333",".271",".312",".432",".328",".317","117","-1.9","0.5","-3.7","0.1","15117"
"Amed Rosario","CLE","30","129","0","13","8","1","6.2%","13.2%",".058",".269",".231",".279",".289",".257",".313","69","0.6","-3.7","0.3","0.1","15518"
"Tony Kemp","OAK","37","146","1","12","5","3","8.9%","13.0%",".055",".239",".213",".297",".268",".263",".269","77","0.4","-3.2","-0.8","0.1","14894"
"Wil Myers","SDP","21","86","1","10","13","0","5.8%","29.1%",".076",".327",".241",".279",".316",".266",".256","74","0.2","-2.4","0.2","0.1","10047"
"Miguel Rojas","MIA","31","114","2","11","7","1","3.5%","11.4%",".110",".223",".211",".246",".321",".249",".277","63","-1.4","-6.2","3.1","0.1","7802"
"Ernie Clement","CLE","21","58","0","7","3","0","6.9%","13.8%",".059",".233",".196",".281",".255",".251",".334","65","-0.3","-2.6","1.3","0.1","20352"
"Jake Marisnick","PIT","22","52","0","5","1","1","3.8%","25.0%",".041",".222",".163",".196",".204",".183",".251","16","-0.1","-5.2","4.1","0.1","11339"
"Jarred Kelenic","SEA","30","96","3","10","10","4","9.4%","37.5%",".151",".188",".140",".219",".291",".231","","55","-0.1","-4.8","2.3","0.1","22558"
"Adam Engel","CHW","31","85","1","10","3","5","5.9%","24.7%",".114",".281",".215",".271",".329",".270",".270","79","0.9","-1.0","-1.2","0.1","15082"
"CJ Abrams","SDP","20","65","1","9","4","1","6.2%","21.5%",".091",".220",".182",".270",".273",".252",".277","65","0.4","-2.3","0.6","0.1","25768"
"Sam Hilliard","COL","25","78","2","7","10","2","14.1%","24.4%",".154",".196",".169",".282",".323",".275",".348","63","0.8","-2.6","0.5","0.0","17954"
"Joc Pederson","SFG","29","100","7","13","14","1","7.0%","22.0%",".256",".206",".222",".280",".478",".329",".430","115","-1.7","0.0","-2.9","0.0","11899"
"Steven Duggar","SFG","12","39","0","2","4","4","5.1%","41.0%",".083",".333",".194",".231",".278",".226",".282","47","1.5","-0.9","0.0","0.0","17719"
"Jose Azocar","SDP","26","39","0","1","3","2","10.3%","35.9%",".029",".333",".206",".282",".235",".241",".272","58","-0.5","-2.4","1.5","0.0","18821"
"Mitch Haniger","SEA","9","36","3","3","7","0","2.8%","25.0%",".286",".174",".200",".222",".486",".307",".399","109","-0.3","0.0","-0.9","0.0","14274"
"Ramon Laureano","OAK","12","48","0","6","1","2","12.5%","16.7%",".073",".182",".146",".271",".220",".238",".296","59","0.2","-1.9","0.7","0.0","17128"
"Jack Suwinski","PIT","19","65","2","7","5","0","6.2%","24.6%",".133",".214",".183",".246",".317",".255",".276","64","0.2","-2.6","0.7","0.0","22244"
"Kurt Suzuki","LAA","12","44","1","5","4","0","11.4%","22.7%",".103",".214",".179",".273",".282",".258","","69","-0.3","-1.8","0.6","0.0","8259"
"Rafael Ortega","CHC","30","89","1","10","5","2","12.4%","21.3%",".118",".281",".224",".318",".342",".300",".299","92","-0.5","-1.4","-1.4","0.0","10323"
"Dylan Carlson","STL","35","143","2","12","10","1","5.6%","15.4%",".122",".248",".221",".273",".344",".274",".260","80","0.7","-2.6","-1.9","0.0","20126"
"Keston Hiura","MIL","15","42","2","5","5","1","11.9%","47.6%",".162",".400",".216",".310",".378",".311","","99","0.6","0.5","-1.8","0.0","20003"
"Maikel Franco","WSN","38","152","3","12","21","0","3.9%","21.1%",".132",".306",".257",".283",".389",".295",".275","88","-2.1","-4.2","-0.6","0.0","12179"
"Luis Arraez","MIN","29","107","1","8","7","1","14.0%","6.5%",".066",".325",".308",".411",".374",".357",".360","140","-0.9","3.7","-7.0","0.0","18568"
"Alejo Lopez","CIN","12","31","0","3","0","0","3.2%","16.1%",".034",".292",".241",".290",".276",".260",".238","62","-0.3","-1.7","0.7","0.0","21127"
"Kyle Higashioka","NYY","22","68","0","6","5","0","5.9%","23.5%",".051",".222",".169",".227",".220",".206",".313","33","0.4","-4.5","2.3","0.0","5517"
"Joey Gallo","NYY","33","114","5","11","7","0","13.2%","36.8%",".162",".250",".182",".289",".343",".290",".371","93","0.6","-0.3","-3.5","0.0","14128"
"Dominic Smith","NYM","31","75","0","5","10","0","6.7%","25.3%",".061",".271",".197",".280",".258",".251",".292","67","1.0","-1.9","-0.7","0.0","15653"
"David Fletcher","LAA","14","41","0","2","2","0","7.3%","4.9%",".105",".167",".158",".220",".263",".219",".280","41","-0.4","-3.0","1.5","0.0","17992"
"Lourdes Gurriel Jr.","TOR","36","141","2","13","12","2","4.3%","17.7%",".108",".267",".231",".277",".338",".275",".327","78","0.5","-2.9","-1.9","0.0","19238"
"Abraham Toro","SEA","34","121","4","13","10","0","6.6%","11.6%",".155",".149",".164",".223",".318",".238",".326","60","-0.1","-5.3","1.1","0.0","19844"
"Diego Castillo","PIT","28","92","2","8","7","1","3.3%","19.6%",".092",".265",".230",".261",".322",".260",".302","67","-0.4","-3.8","0.6","0.0","19906"
"Jesse Winker","SEA","37","154","2","13","13","0","13.0%","13.0%",".098",".250",".226",".325",".323",".295",".367","101","-1.7","-1.6","-3.7","0.0","13590"
"Franchy Cordero","BOS","14","46","0","7","3","0","13.0%","17.4%",".103",".281",".231",".326",".333",".299",".356","94","0.4","0.1","-1.8","0.0","14567"
"Edmundo Sosa","STL","15","42","0","5","1","1","0.0%","33.3%",".000",".320",".205",".262",".205",".222",".268","45","0.9","-1.8","0.1","0.0","17022"
"Tucker Barnhart","DET","26","83","0","3","4","0","6.0%","33.7%",".038",".420",".269",".313",".308",".282",".223","86","-0.7","-1.9","-1.1","0.0","10200"
"Andrew Vaughn","CHW","20","75","4","5","13","0","6.7%","18.7%",".224",".260",".254",".320",".478",".349",".383","135","0.1","3.0","-5.8","0.0","26197"
"Danny Mendick","CHW","11","26","1","4","3","0","7.7%","34.6%",".217",".308",".217",".280",".435",".315",".280","111","-0.1","0.2","-1.4","0.0","18889"
"Tyler Nevin","BAL","15","55","1","5","6","0","9.1%","25.5%",".064",".242",".191",".291",".255",".258",".276","68","-0.9","-2.9","0.7","0.0","17893"
"Miguel Cabrera","DET","33","130","3","12","14","0","6.2%","26.9%",".118",".373",".286",".331",".403",".320",".312","113","-3.0","-1.2","-3.5","0.0","1744"
"Cooper Hummel","ARI","32","99","2","9","8","2","15.2%","30.3%",".155",".269",".190",".313",".345",".301",".328","92","0.2","-0.7","-3.0","0.0","19458"
"Aramis Garcia","CIN","18","47","1","4","1","0","4.3%","34.0%",".089",".250",".178",".213",".267",".216",".249","32","-0.4","-4.1","2.1","-0.1","16925"
"Vidal Brujan","TBR","8","26","0","2","1","1","7.7%","7.7%",".083",".136",".125",".192",".208",".186",".267","24","-0.8","-2.9","1.6","-0.1","20536"
"MJ Melendez","KCR","11","34","1","2","2","0","11.8%","23.5%",".133",".286",".233",".324",".367",".313",".358","107","0.0","0.2","-1.8","-0.1","22197"
"Brad Miller","TEX","30","91","5","8","17","4","6.6%","22.0%",".190",".200",".202",".253",".393",".285",".324","90","0.8","-0.2","-3.3","-0.1","12775"
"Josh VanMeter","PIT","24","70","2","6","4","1","7.1%","27.1%",".138",".205",".169",".229",".308",".241",".260","55","0.6","-3.1","0.3","-0.1","15170"
"Stephen Piscotty","OAK","14","47","1","4","3","2","12.8%","25.5%",".100",".296",".225",".340",".325",".301",".349","104","-0.4","-0.2","-1.8","-0.1","13367"
"Isaac Paredes","TBR","8","21","0","2","2","0","0.0%","23.8%",".048",".313",".238",".238",".286",".231",".203","56","-0.1","-1.1","-0.2","-0.1","20036"
"Reese McGuire","CHW","20","68","0","4","5","0","2.9%","17.6%",".033",".180",".150",".185",".183",".168",".235","7","-0.1","-7.0","4.2","-0.1","15674"
"Jose Herrera","ARI","18","46","0","3","2","0","10.9%","28.3%",".025",".185",".125",".222",".150",".185",".183","15","0.3","-4.3","2.2","-0.1","17040"
"Salvador Perez","KCR","34","142","6","13","16","0","2.8%","26.8%",".191",".239",".206",".239",".397",".277",".272","81","-0.1","-3.0","-2.3","-0.1","7304"
"Kyle Isbel","KCR","17","38","0","5","2","0","2.6%","28.9%",".054",".269",".189",".211",".243",".203",".296","29","-0.2","-3.1","1.3","-0.1","21614"
"Derek Hill","DET","17","54","0","5","2","1","3.7%","25.9%",".042",".286",".208",".235",".250",".218",".245","41","0.7","-2.8","0.4","-0.1","16947"
"Erik Gonzalez","MIA","6","20","0","3","3","0","10.0%","25.0%",".000",".250",".176",".263",".176",".214",".267","40","0.1","-1.3","0.0","-0.1","13369"
"Travis Demeritte","ATL","20","75","3","9","5","0","8.0%","32.0%",".162",".357",".265",".320",".426",".330",".313","110","-1.1","-0.2","-3.0","-0.1","15958"
"Christian Vazquez","BOS","25","85","1","7","8","0","5.9%","20.0%",".078",".262",".221",".271",".299",".256",".319","64","-2.0","-5.3","1.9","-0.1","9774"
"Nick Allen","OAK","8","21","0","2","0","1","9.5%","28.6%",".105",".308",".211",".286",".316",".273","","85","0.6","0.2","-1.6","-0.1","22277"
"Victor Reyes","DET","11","26","0","1","4","0","7.7%","15.4%",".167",".350",".292",".346",".458",".352",".443","137","-0.3","0.7","-2.3","-0.1","15487"
"Yasmani Grandal","CHW","32","128","2","5","8","1","14.1%","18.0%",".073",".200",".174",".289",".248",".252",".327","66","-0.6","-5.3","0.4","-0.1","11368"
"Kevin Newman","PIT","14","52","0","4","8","1","7.7%","13.5%",".125",".293",".250",".308",".375",".304",".289","96","-0.8","-1.0","-1.4","-0.1","17696"
"Orlando Arcia","ATL","13","44","1","3","7","0","11.4%","27.3%",".132",".423",".316",".386",".447",".368",".416","136","-0.4","1.4","-3.6","-0.1","13185"
"Chad Wallach","LAA","7","24","1","3","4","0","12.5%","16.7%",".143",".125",".143",".250",".286",".250",".395","63","0.1","-0.9","-0.7","-0.1","17161"
"Alan Trejo","COL","10","36","1","6","6","0","2.8%","22.2%",".114",".308",".257",".278",".371",".288",".331","72","0.4","-0.8","-1.2","-0.1","20056"
"Gavin Sheets","CHW","28","100","4","7","10","0","6.0%","22.0%",".161",".239",".215",".270",".376",".289",".285","92","-0.2","-1.0","-3.1","-0.1","19901"
"Whit Merrifield","KCR","35","154","2","14","15","5","5.2%","13.6%",".077",".220",".204",".240",".282",".233",".329","50","1.1","-7.3","1.4","-0.1","11281"
"Willie Calhoun","TEX","18","53","1","7","2","0","15.1%","11.3%",".136",".135",".136",".283",".273",".265",".344","75","-0.2","-1.6","-1.0","-0.1","17838"
"Jeimer Candelario","DET","35","137","3","14","12","0","5.8%","20.4%",".133",".237",".203",".255",".336",".265",".337","74","-0.7","-4.5","-0.9","-0.1","13621"
"Jed Lowrie","OAK","23","81","1","9","8","1","12.3%","17.3%",".043",".268",".232",".321",".275",".277",".280","87","-0.1","-1.2","-2.4","-0.1","4418"
"Josh Harrison","CHW","25","82","0","11","2","0","3.7%","13.4%",".110",".194",".164",".247",".274",".241",".301","58","0.0","-3.7","0.1","-0.1","8202"
"Payton Henry","MIA","14","32","0","2","4","0","9.4%","21.9%",".000",".200",".148",".281",".148",".222",".273","46","0.1","-2.0","-0.2","-0.1","22164"
"Randy Arozarena","TBR","36","148","2","16","11","6","4.7%","26.4%",".129",".303",".230",".270",".360",".279",".262","90","-4.1","-5.7","-0.2","-0.1","19290"
"Eloy Jimenez","CHW","11","39","1","2","7","0","5.1%","25.6%",".111",".269",".222",".256",".333",".260",".287","72","0.1","-1.1","-1.3","-0.1","17484"
"Luke Voit","SDP","18","77","2","10","7","1","15.6%","33.8%",".127",".250",".175",".312",".302",".287",".301","88","-1.3","-2.3","-1.4","-0.1","14811"
"Eric Haase","DET","21","61","2","4","4","0","8.2%","16.4%",".125",".159",".161",".230",".286",".235",".298","53","-1.2","-4.3","1.2","-0.1","14111"
"Sergio Alcantara","- - -","24","57","1","7","7","0","1.8%","22.8%",".132",".225",".189",".200",".321",".225",".259","42","-0.7","-4.6","1.5","-0.1","16417"
"Clint Frazier","CHC","10","24","0","3","0","0","8.3%","20.8%",".095",".188",".143",".250",".238",".232",".273","47","0.2","-1.3","-0.7","-0.1","15983"
"Gio Urshela","MIN","32","118","3","12","10","0","7.6%","13.6%",".104",".233",".226",".280",".330",".273",".333","80","-2.0","-4.6","-0.4","-0.1","10681"
"Jason Heyward","CHC","27","80","0","9","4","1","8.8%","27.5%",".056",".300",".208",".288",".264",".256",".299","63","-0.6","-4.0","0.1","-0.1","4940"
"Jackie Bradley Jr.","BOS","34","117","0","5","9","1","7.7%","23.9%",".075",".256",".189",".252",".264",".237",".277","50","-0.3","-6.7","1.6","-0.1","12984"
"Luis Torrens","SEA","19","64","0","4","4","0","9.4%","34.4%",".018",".306",".193",".266",".211",".225",".269","51","-0.2","-3.6","0.1","-0.1","15905"
"Oscar Mercado","CLE","29","85","4","9","15","1","2.4%","24.7%",".222",".228",".210",".235",".432",".289",".276","91","-0.9","-1.7","-2.4","-0.1","16375"
"J.D. Davis","NYM","23","70","1","7","6","1","12.9%","25.7%",".121",".250",".190",".314",".310",".289",".411","92","-1.3","-1.9","-1.8","-0.1","16219"
"Nick Senzel","CIN","17","57","1","4","3","0","3.5%","14.0%",".115",".209",".192",".222",".308",".236",".288","45","-1.8","-5.4","2.1","-0.2","19293"
"Andrew McCutchen","MIL","25","110","2","11","14","3","6.4%","22.7%",".110",".293",".240",".291",".350",".286",".346","82","-0.5","-2.7","-2.4","-0.2","9847"
"Anthony Bemboom","BAL","20","55","1","4","1","0","10.9%","30.9%",".104",".167",".125",".222",".229",".213",".268","36","0.0","-3.8","0.5","-0.2","13854"
"Andy Ibanez","TEX","29","94","1","10","5","3","6.4%","16.0%",".057",".222",".193",".245",".250",".227",".292","49","1.0","-4.2","-0.4","-0.2","18819"
"Michael Perez","PIT","8","27","2","2","3","0","11.1%","18.5%",".250",".118",".167",".259",".417",".301",".391","94","-1.1","-1.3","-1.1","-0.2","12977"
"Jonathan India","CIN","11","45","0","5","3","0","2.2%","22.2%",".045",".382",".295",".311",".341",".291",".254","82","-0.7","-1.7","-1.4","-0.2","21523"
"Jack Mayfield","LAA","20","63","1","7","6","1","4.8%","20.6%",".102",".267",".220",".270",".322",".266",".249","75","-0.5","-2.2","-1.3","-0.2","15402"
"Tyrone Taylor","MIL","24","85","1","4","7","1","4.7%","23.5%",".127",".259",".203",".259",".329",".264",".329","68","0.3","-2.9","-1.5","-0.2","13675"
"Harold Castro","DET","21","65","1","8","6","0","3.1%","18.5%",".129",".360",".306",".323",".435",".331",".362","121","-0.7","0.8","-4.6","-0.2","14691"
"Charlie Blackmon","COL","31","137","5","18","16","1","7.3%","16.1%",".177",".227",".218",".276",".395",".298",".306","79","1.3","-2.1","-4.1","-0.2","7859"
"Riley Adams","WSN","12","39","2","4","3","0","5.1%","30.8%",".167",".227",".194",".256",".361",".278",".314","77","-0.6","-1.7","-1.4","-0.2","19864"
"Michael Hermosillo","CHC","17","35","0","2","2","0","11.4%","40.0%",".036",".143",".071",".257",".107",".203",".320","28","0.3","-2.7","-0.4","-0.2","16285"
